saddr udp_pkt_size
216.226.148.173 1240
3.249.250.85 26
0.0.0.0 308
23.106.122.160 1240
106.53.98.158 1240
139.196.186.46 1240
101.56.121.124 24
120.31.253.176 1240
67.59.100.241 0
176.80.10.81 58
49.12.226.80 1240
202.158.139.201 58
13.245.27.92 26
45.132.106.36 1240
5.34.183.232 1240
35.181.5.127 26
67.59.100.129 17571
193.158.19.100 58
194.87.141.143 1240
3.38.179.54 26
200.178.136.50 58
103.50.255.179 24
103.50.255.138 24
99.79.127.132 26
124.156.139.17 1240
191.36.132.67 58
44.203.117.45 26
121.37.206.100 1240
107.172.195.124 1240
5.189.178.176 1240
112.29.171.200 1240
18.237.97.75 26
45.132.107.38 1240
172.245.106.43 1240
13.40.172.10 26
95.47.114.243 1240
111.229.159.238 1240
206.255.217.74 58
124.70.164.46 1240
45.32.247.0 9
3.25.237.43 26
3.110.50.183 26
37.0.11.157 1240
194.87.141.68 1240
45.59.236.194 58
180.42.15.9 58
173.210.48.226 58
142.190.10.2 58
177.70.78.130 58
1.14.199.247 1240
54.216.50.69 26
148.70.206.165 1240
13.214.181.214 26
3.232.56.162 26
35.158.146.32 26
123.142.77.242 58
139.159.241.119 1240
203.59.9.123 58
80.229.211.153 58
154.70.209.138 58
13.208.207.211 26
104.222.84.133 58
45.72.68.8 1240
13.244.63.86 26
18.192.176.7 26
131.196.251.132 58
45.72.68.175 1240
185.152.136.229 1240
206.237.183.81 1240
66.42.62.160 1240
202.157.168.232 58
209.121.64.21 58
15.185.82.210 26
137.118.140.143 58
67.59.100.145 50562
27.150.60.115 693
45.13.116.1 157
15.160.120.28 26
121.37.225.248 1240
83.170.10.60 21515
3.249.126.5 26
201.49.114.217 58
107.173.168.183 1240
15.237.105.188 26
18.228.191.6 26
90.64.234.234 58
18.134.96.60 26
24.242.161.14 58
103.50.255.37 24
13.212.170.162 26
198.58.114.40 1240
67.59.100.177 43095
24.116.12.66 58
23.231.42.80 1240
18.163.197.200 26
120.77.211.48 1240
43.204.96.214 26
